,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
194,195,-0.05812013483037078,0.0030433833693042645,-0.050786914664015304,-0.0005044013871038158,0.14432427189174774,PILAR,51.714285714285715,48.28571428571429,25.93659942363112,21.613832853025933,16.138328530259365,15.273775216138327,12.391930835734868,6.628242074927955,2.0172910662824206,23.353293413173645,20.95808383233533,17.964071856287426,17.365269461077844,9.580838323353293,7.185628742514971,3.5928143712574854,28.33333333333333,22.222222222222218,14.444444444444445,13.333333333333336,15.0,6.111111111111112,0.5555555555555556
195,196,-0.03613816189896531,-0.0012003787110299556,-0.04634983431392442,-0.014751132751741395,0.11337661459390008,PILAR,48.28571428571429,51.714285714285715,25.65597667638484,20.40816326530612,20.40816326530612,11.661807580174925,11.370262390670554,6.997084548104956,3.498542274052478,24.0,21.714285714285715,20.0,13.714285714285715,9.142857142857142,6.285714285714287,5.1428571428571415,27.380952380952387,19.047619047619047,20.833333333333336,9.523809523809524,13.690476190476193,7.738095238095237,1.7857142857142856
196,197,-0.006208053691275167,-0.016004130098089833,0.009086215797625252,-0.01481672689726381,0.06569437274135259,PILAR,49.714285714285715,50.28571428571429,25.360230547550437,24.783861671469737,13.832853025936599,17.579250720461097,9.510086455331413,5.475504322766571,3.4582132564841497,22.41379310344828,28.73563218390805,12.06896551724138,18.39080459770115,8.620689655172415,5.172413793103448,4.597701149425287,28.323699421965323,20.809248554913296,15.606936416184974,16.76300578034682,10.404624277456648,5.780346820809249,2.312138728323699
197,198,-0.011341498913992706,-0.002832575740612197,-0.04679907745359274,-0.011688573411854274,0.10525314046440803,PILAR,56.57142857142857,43.42857142857143,20.057306590257877,26.074498567335237,18.33810888252149,16.618911174785097,9.455587392550145,5.730659025787967,3.7249283667621778,19.86754966887417,28.47682119205298,18.54304635761589,18.54304635761589,7.284768211920531,3.3112582781456954,3.9735099337748343,20.2020202020202,24.24242424242424,18.181818181818183,15.151515151515152,11.111111111111109,7.575757575757576,3.5353535353535355
198,199,-0.016348165630459432,0.002499992559545954,-0.027374918527028225,-0.018023755881678927,0.08150570980443511,PILAR,47.14285714285714,52.85714285714286,22.89855072463768,20.28985507246377,23.47826086956522,11.884057971014492,13.333333333333336,6.376811594202898,1.7391304347826086,22.404371584699454,21.857923497267763,21.857923497267763,10.382513661202186,14.207650273224044,7.650273224043716,1.639344262295082,23.456790123456788,18.51851851851852,25.308641975308642,13.580246913580249,12.345679012345679,4.938271604938271,1.851851851851852
199,200,-0.020671089872549418,0.004343465203281088,-0.010188553081352802,-0.0010923512355962353,0.06268193844788134,PILAR,51.714285714285715,48.28571428571429,24.42528735632184,21.26436781609195,18.96551724137931,14.942528735632186,11.20689655172414,7.471264367816093,1.7241379310344829,26.34730538922156,19.161676646706592,19.760479041916167,14.371257485029941,10.778443113772457,8.383233532934131,1.1976047904191618,22.651933701657462,23.204419889502763,18.232044198895032,15.469613259668508,11.602209944751381,6.629834254143647,2.2099447513812147
200,201,-0.04133045547623,-0.011555703137971112,-0.011024406441972445,-0.0042642094194476725,0.10208644639991149,PILAR,52.0,48.0,22.318840579710145,23.768115942028984,19.420289855072465,13.91304347826087,10.72463768115942,7.82608695652174,2.0289855072463765,21.084337349397593,25.903614457831324,17.46987951807229,13.855421686746988,12.048192771084338,8.433734939759036,1.2048192771084338,23.463687150837988,21.787709497206702,21.22905027932961,13.966480446927376,9.497206703910614,7.262569832402235,2.793296089385475
201,202,-0.03496809161640003,0.004283591223009003,-0.06023253780924909,0.0025351866421890017,0.10569105691056913,PILAR,50.85714285714285,49.14285714285714,19.653179190751445,26.300578034682086,19.653179190751445,13.583815028901732,10.115606936416183,6.9364161849710975,3.757225433526012,18.823529411764707,26.470588235294123,20.588235294117645,12.352941176470587,10.0,7.647058823529411,4.117647058823529,20.454545454545453,26.13636363636364,18.75,14.772727272727273,10.227272727272727,6.25,3.4090909090909087
202,203,-0.010497588220360489,0.009875602944909875,-0.014889565879664834,0.00932977913175933,0.04248540238639248,PILAR,49.714285714285715,50.28571428571429,21.676300578034677,22.543352601156073,18.786127167630056,13.583815028901732,11.271676300578036,8.670520231213873,3.4682080924855487,21.142857142857142,25.142857142857146,16.57142857142857,13.142857142857142,11.428571428571427,8.0,4.571428571428571,22.222222222222218,19.883040935672515,21.052631578947366,14.035087719298243,11.111111111111109,9.35672514619883,2.3391812865497075
203,204,-0.03255306811879191,-0.0015756567337266176,-0.03586194725961778,-0.000939091413301063,0.08174507134573694,PILAR,46.28571428571429,53.714285714285715,26.224783861671465,20.461095100864554,20.172910662824208,14.121037463976945,10.086455331412104,6.051873198847263,2.8818443804034577,23.529411764705877,24.598930481283425,18.181818181818183,15.508021390374331,9.090909090909092,5.882352941176469,3.2085561497326207,29.375,15.625,22.5,12.5,11.25,6.25,2.5
204,205,-0.036520915391135264,-0.0019583077119099436,-0.04437630530765102,-0.0043431774996814665,0.110382631721815,PILAR,52.28571428571429,47.714285714285715,25.507246376811594,22.89855072463768,18.26086956521739,12.753623188405795,9.855072463768117,6.376811594202898,4.3478260869565215,28.484848484848484,19.393939393939394,18.787878787878785,10.909090909090908,9.696969696969695,7.272727272727272,5.454545454545454,22.777777777777782,26.11111111111111,17.777777777777782,14.444444444444445,10.0,5.5555555555555545,3.333333333333333
205,206,-0.009042798216043042,-0.012000355953851634,-0.07049718377687975,-0.0013400615590778708,0.11358592097824494,PILAR,48.57142857142857,51.42857142857142,21.965317919075147,23.121387283236995,18.208092485549127,17.630057803468212,9.826589595375722,6.9364161849710975,2.312138728323699,24.022346368715088,22.3463687150838,19.553072625698324,16.75977653631285,10.055865921787712,6.145251396648043,1.11731843575419,19.760479041916167,23.952095808383238,16.766467065868262,18.562874251497004,9.580838323353293,7.7844311377245505,3.5928143712574854
206,207,-0.03678198389090365,-0.013647908941499257,0.019550955543783888,-0.0015158306507477327,0.05531966912513753,PILAR,51.14285714285714,48.85714285714285,20.172910662824208,20.172910662824208,18.73198847262248,16.42651296829971,13.832853025936599,6.628242074927955,4.034582132564841,18.343195266272193,20.710059171597635,18.93491124260355,14.792899408284025,13.6094674556213,8.875739644970414,4.733727810650888,21.910112359550567,19.662921348314608,18.539325842696627,17.97752808988764,14.044943820224722,4.49438202247191,3.3707865168539324
207,208,-0.03343302647497743,0.005594689037234469,-0.09501452408295608,0.001590586674691247,0.14378842126595962,PILAR,57.14285714285714,42.857142857142854,25.57471264367816,22.41379310344828,19.25287356321839,12.93103448275862,10.344827586206897,6.0344827586206895,3.4482758620689653,27.33333333333333,22.0,18.666666666666668,12.0,10.0,5.333333333333334,4.666666666666667,24.24242424242424,22.72727272727273,19.696969696969692,13.636363636363635,10.606060606060606,6.5656565656565675,2.525252525252525
208,209,-0.05969330949087351,-0.00892405276831202,-0.006331747584826242,0.000705714317846981,0.09371380051058859,PILAR,52.28571428571429,47.714285714285715,23.410404624277447,19.942196531791907,22.832369942196532,15.028901734104045,10.115606936416183,5.780346820809249,2.8901734104046244,23.926380368098158,20.24539877300613,19.6319018404908,17.177914110429448,10.429447852760736,6.7484662576687136,1.8404907975460123,22.950819672131143,19.672131147540984,25.683060109289613,13.114754098360656,9.836065573770492,4.918032786885246,3.825136612021858
