,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,CONSENSO FEDERAL cant,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD cant,FRENTE DE TODOS cant,FRENTE NOS cant,JUNTOS POR EL CAMBIO cant,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
414,415,0.047244094488188976,0.015748031496062992,0.594488188976378,0.027559055118110236,0.31496062992125984,12,4,151,7,80,LAGOMARSINO,ESCUELA EP N°9/ES N°32,48.85714285714285,51.14285714285714,27.380952380952387,19.642857142857142,24.404761904761905,11.309523809523812,10.416666666666668,5.059523809523808,1.7857142857142856,27.544910179640716,18.562874251497004,25.748502994011968,11.976047904191615,10.179640718562874,4.790419161676646,1.1976047904191618,27.2189349112426,20.710059171597635,23.07692307692308,10.650887573964498,10.650887573964498,5.325443786982249,2.366863905325444
415,416,0.05190311418685121,0.01384083044982699,0.5501730103806228,0.02768166089965398,0.356401384083045,15,4,159,8,103,LAGOMARSINO,ESCUELA EP N°9/ES N°32,53.14285714285714,46.85714285714286,22.94117647058824,24.705882352941174,20.588235294117645,14.117647058823529,9.705882352941178,4.117647058823529,3.8235294117647056,23.87096774193548,20.645161290322577,22.58064516129032,13.548387096774194,12.258064516129034,3.870967741935484,3.2258064516129035,22.162162162162165,28.10810810810811,18.918918918918923,14.594594594594595,7.5675675675675675,4.3243243243243255,4.3243243243243255
416,417,0.05220883534136546,0.020080321285140562,0.5823293172690763,0.024096385542168676,0.321285140562249,13,5,145,6,80,LAGOMARSINO,ESCUELA EP N°9/ES N°32,50.85714285714285,49.14285714285714,29.673590504451038,18.694362017804156,19.584569732937684,14.540059347181009,9.495548961424332,5.637982195845697,2.373887240356084,25.153374233128833,17.791411042944784,23.31288343558282,11.65644171779141,12.883435582822086,6.1349693251533735,3.0674846625766867,33.90804597701149,19.540229885057467,16.091954022988507,17.24137931034483,6.321839080459771,5.172413793103448,1.7241379310344829
417,418,0.03676470588235294,0.025735294117647058,0.5588235294117647,0.029411764705882353,0.3492647058823529,10,7,152,8,95,LAGOMARSINO,ESCUELA EP N°9/ES N°32,45.714285714285715,54.28571428571429,21.301775147929,21.893491124260358,19.822485207100588,16.56804733727811,12.721893491124261,5.621301775147929,2.071005917159764,21.546961325966848,20.441988950276247,19.889502762430944,18.232044198895032,11.049723756906078,6.629834254143647,2.2099447513812147,21.019108280254773,23.56687898089172,19.745222929936308,14.64968152866242,14.64968152866242,4.4585987261146505,1.9108280254777068
418,419,0.025735294117647058,0.014705882352941176,0.5404411764705882,0.04044117647058824,0.3786764705882353,7,4,147,11,103,LAGOMARSINO,ESCUELA EP N°9/ES N°32,45.14285714285714,54.85714285714286,20.060790273556236,23.100303951367785,20.97264437689969,16.413373860182368,10.94224924012158,5.775075987841946,2.735562310030395,17.24137931034483,22.988505747126432,25.287356321839084,14.942528735632186,9.770114942528737,6.896551724137932,2.8735632183908044,23.225806451612907,23.225806451612907,16.129032258064516,18.064516129032253,12.258064516129034,4.516129032258063,2.5806451612903225
419,420,0.06666666666666667,0.025925925925925925,0.5777777777777777,0.022222222222222223,0.3074074074074074,18,7,156,6,83,LAGOMARSINO,ESCUELA EP N°9/ES N°32,46.57142857142857,53.42857142857142,23.30383480825959,20.943952802359885,22.418879056047203,14.454277286135696,10.324483775811212,6.784660766961652,1.7699115044247788,20.903954802259886,21.468926553672315,22.598870056497177,15.819209039548024,9.604519774011301,7.344632768361581,2.2598870056497176,25.925925925925927,20.37037037037037,22.222222222222218,12.962962962962964,11.111111111111109,6.172839506172839,1.2345679012345678
420,421,0.025925925925925925,0.022222222222222223,0.5777777777777777,0.014814814814814815,0.3592592592592593,7,6,156,4,97,LAGOMARSINO,ESCUELA EP N°9/ES N°32,47.714285714285715,52.28571428571429,24.347826086956523,22.318840579710145,22.02898550724637,14.492753623188404,7.82608695652174,6.666666666666668,2.318840579710145,25.13966480446928,21.22905027932961,22.3463687150838,13.40782122905028,7.82122905027933,7.262569832402235,2.793296089385475,23.49397590361446,23.49397590361446,21.686746987951807,15.662650602409641,7.831325301204821,6.024096385542169,1.8072289156626504
421,422,0.05474452554744526,0.01824817518248175,0.5437956204379562,0.0364963503649635,0.3467153284671533,15,5,149,10,95,LAGOMARSINO,ESCUELA EP N°47/ES N°37,52.85714285714286,47.14285714285714,27.596439169139465,24.62908011869436,17.210682492581604,14.540059347181009,9.792284866468842,4.451038575667656,1.7804154302670625,23.56687898089172,23.56687898089172,20.382165605095548,14.012738853503187,11.464968152866245,4.4585987261146505,2.5477707006369434,31.11111111111111,25.555555555555554,14.444444444444445,15.0,8.333333333333332,4.4444444444444455,1.1111111111111112
422,423,0.041666666666666664,0.01893939393939394,0.5643939393939394,0.022727272727272728,0.3522727272727273,11,5,149,6,93,LAGOMARSINO,ESCUELA EP N°47/ES N°37,49.42857142857143,50.57142857142857,24.340175953079182,21.114369501466275,19.941348973607038,17.302052785923756,9.677419354838712,5.865102639296187,1.7595307917888563,23.66863905325444,17.75147928994083,23.66863905325444,17.159763313609467,10.059171597633137,5.9171597633136095,1.7751479289940828,25.0,24.41860465116279,16.27906976744186,17.441860465116278,9.30232558139535,5.813953488372092,1.7441860465116281
423,424,0.024822695035460994,0.01773049645390071,0.599290780141844,0.06028368794326241,0.2978723404255319,7,5,169,17,84,LAGOMARSINO,ESCUELA EP N°47/ES N°37,53.14285714285714,46.85714285714286,23.09941520467836,24.561403508771928,16.374269005847953,17.543859649122805,10.8187134502924,6.725146198830409,0.8771929824561403,28.2051282051282,25.0,14.1025641025641,16.666666666666664,9.615384615384617,5.128205128205128,1.282051282051282,18.817204301075265,24.193548387096772,18.27956989247312,18.27956989247312,11.827956989247312,8.064516129032258,0.5376344086021506
