,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
150,151,0.07056145675265554,0.055386949924127474,0.5022761760242792,0.006828528072837633,0.33232169954476476,PILAR,CENTRO EDUCATIVO SAN JOSE,56.57142857142857,43.42857142857143,26.589595375722546,21.387283236994218,19.364161849710978,12.427745664739886,11.271676300578036,6.358381502890174,2.601156069364162,24.66666666666667,25.333333333333336,18.666666666666668,13.333333333333336,10.666666666666668,5.333333333333334,2.0,28.061224489795915,18.367346938775512,19.897959183673468,11.734693877551019,11.734693877551019,7.142857142857142,3.0612244897959178
151,152,0.09520182787509521,0.02894135567402894,0.4478293983244478,0.012947448591012949,0.3853769992383854,PILAR,CENTRO EDUCATIVO SAN JOSE,50.85714285714285,49.14285714285714,21.51162790697675,20.63953488372093,18.6046511627907,18.313953488372096,11.046511627906975,5.813953488372092,4.069767441860465,18.452380952380953,21.428571428571427,23.809523809523807,17.857142857142858,10.119047619047619,5.357142857142857,2.976190476190476,24.431818181818183,19.88636363636364,13.636363636363635,18.75,11.931818181818182,6.25,5.113636363636363
152,153,0.04524539877300614,0.017638036809815953,0.5483128834355828,0.012269938650306749,0.34432515337423314,PILAR,CENTRO EDUCATIVO SAN JOSE,54.85714285714286,45.14285714285714,26.66666666666667,24.63768115942029,15.072463768115945,13.91304347826087,10.144927536231883,7.82608695652174,1.7391304347826086,26.282051282051288,25.64102564102564,14.743589743589745,12.82051282051282,9.615384615384617,8.333333333333332,2.564102564102564,26.984126984126984,23.809523809523807,15.343915343915345,14.814814814814813,10.582010582010582,7.4074074074074066,1.058201058201058
153,154,0.052388289676425275,0.01848998459167951,0.5577812018489985,0.01078582434514638,0.3382126348228043,PILAR,CENTRO EDUCATIVO SAN JOSE,55.714285714285715,44.28571428571429,29.597701149425287,22.701149425287355,19.25287356321839,12.643678160919542,8.045977011494253,5.172413793103448,2.586206896551724,35.064935064935064,18.831168831168828,20.779220779220783,12.987012987012985,4.545454545454546,4.545454545454546,3.2467532467532463,25.25773195876289,25.773195876288657,18.041237113402058,12.371134020618555,10.82474226804124,5.6701030927835046,2.061855670103093
154,155,0.05153846153846154,0.03230769230769231,0.5876923076923077,0.04307692307692308,0.26153846153846155,PILAR,CENTRO EDUCATIVO SAN JOSE,54.85714285714286,45.14285714285714,25.507246376811594,25.79710144927536,21.15942028985507,13.623188405797103,7.246376811594202,4.3478260869565215,2.318840579710145,27.096774193548388,26.451612903225808,19.354838709677423,13.548387096774194,5.806451612903227,5.161290322580644,2.5806451612903225,24.210526315789476,25.26315789473684,22.63157894736842,13.684210526315795,8.421052631578947,3.6842105263157885,2.1052631578947367
155,156,0.07479674796747968,0.02520325203252033,0.5585365853658537,0.024390243902439025,0.2910569105691057,PILAR,CENTRO EDUCATIVO SAN JOSE,48.28571428571429,51.714285714285715,24.92753623188406,18.84057971014493,25.217391304347824,12.173913043478262,8.405797101449275,8.405797101449275,2.0289855072463765,27.374301675977648,16.201117318435752,25.698324022346373,11.731843575418994,9.497206703910614,7.262569832402235,2.23463687150838,22.289156626506024,21.686746987951807,24.69879518072289,12.650602409638553,7.2289156626506035,9.63855421686747,1.8072289156626504
156,157,0.035364936042136946,0.04138449962377728,0.510158013544018,0.008276899924755455,0.3829947328818661,PILAR,CENTRO EDUCATIVO SAN JOSE,51.714285714285715,48.28571428571429,25.58139534883721,19.186046511627904,16.27906976744186,16.569767441860467,12.790697674418604,6.104651162790698,3.4883720930232562,22.424242424242426,19.393939393939394,18.181818181818183,15.151515151515152,12.727272727272727,7.272727272727272,4.848484848484849,28.49162011173184,18.994413407821227,14.52513966480447,17.877094972067038,12.849162011173187,5.027932960893856,2.23463687150838
157,158,0.05357142857142857,0.030844155844155847,0.49512987012987014,0.006493506493506494,0.3806818181818182,PILAR,CENTRO EDUCATIVO SAN JOSE,54.85714285714286,45.14285714285714,21.637426900584803,24.26900584795321,20.175438596491226,16.374269005847953,11.403508771929824,4.093567251461988,2.046783625730994,20.779220779220783,23.376623376623375,20.129870129870127,17.532467532467532,11.03896103896104,3.8961038961038965,3.2467532467532463,22.34042553191489,25.0,20.212765957446805,15.425531914893615,11.702127659574465,4.25531914893617,1.0638297872340423
158,159,0.0856269113149847,0.04587155963302752,0.3585626911314985,0.028287461773700305,0.4648318042813456,PILAR,CENTRO EDUCATIVO SAN JOSE,52.28571428571429,47.714285714285715,20.930232558139533,20.63953488372093,17.441860465116278,20.63953488372093,11.33720930232558,6.395348837209302,2.6162790697674416,17.46987951807229,20.48192771084337,19.27710843373494,24.09638554216868,11.445783132530119,4.216867469879518,3.0120481927710845,24.15730337078652,20.786516853932586,15.730337078651687,17.415730337078653,11.235955056179774,8.426966292134832,2.247191011235955
159,160,0.07578125,0.011718749999999998,0.5171875,0.00859375,0.3625,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,50.28571428571429,49.714285714285715,26.300578034682086,21.098265895953762,20.231213872832374,15.606936416184974,7.803468208092487,5.202312138728324,3.757225433526012,28.160919540229887,18.96551724137931,20.114942528735632,17.24137931034483,6.896551724137932,5.172413793103448,3.4482758620689653,24.41860465116279,23.255813953488367,20.348837209302324,13.953488372093025,8.720930232558139,5.232558139534883,4.069767441860465
