,mesa,1PAIS,CAMBIEMOS BUENOS AIRES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,SUMEMOS PILAR,UNIDAD CIUDADANA,1PAIS cant,CAMBIEMOS BUENOS AIRES cant,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES cant,FRENTE JUSTICIALISTA cant,SUMEMOS PILAR cant,UNIDAD CIUDADANA cant,localidad,school,18-25,25-35,35-45,45-55,55-65,65-75,>75
353,358,0.0959409594095941,0.5092250922509225,0.033210332103321034,0.01107011070110701,0.02952029520295203,0.3210332103321033,26,138,9,3,8,87,La Lonja,ESCUELA EP N°32/ESM N°31 ANEXO,32.831325301204814,16.867469879518072,14.457831325301207,17.16867469879518,9.93975903614458,6.325301204819278,2.409638554216868
354,359,0.06349206349206349,0.5595238095238095,0.04365079365079365,0.023809523809523808,0.015873015873015872,0.29365079365079366,16,141,11,6,4,74,La Lonja,ESCUELA EP N°32/ESM N°31 ANEXO,23.353293413173645,21.856287425149702,15.868263473053892,16.46706586826347,10.479041916167665,6.58682634730539,5.389221556886229
355,360,0.06153846153846154,0.5923076923076923,0.03076923076923077,0.038461538461538464,0.019230769230769232,0.25769230769230766,16,154,8,10,5,67,La Lonja,ESCUELA EP N°32/ESM N°31 ANEXO,22.123893805309734,21.828908554572273,13.569321533923304,18.584070796460182,10.914454277286136,8.259587020648969,4.71976401179941
356,361,0.05555555555555555,0.5912698412698413,0.031746031746031744,0.027777777777777776,0.007936507936507936,0.2857142857142857,14,149,8,7,2,72,La Lonja,ESCUELA EP N°32/ESM N°31 ANEXO,24.024024024024023,23.423423423423422,17.117117117117118,16.516516516516518,8.708708708708707,6.306306306306306,3.903903903903904
357,362,0.07857142857142857,0.5964285714285714,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.2357142857142857,22,167,15,5,5,66,La Lonja,ESCUELA EP N°32/ESM N°31 ANEXO,27.002967359050444,15.727002967359047,18.39762611275964,21.661721068249264,7.715133531157269,6.528189910979228,2.9673590504451037
358,363,0.08058608058608059,0.5897435897435898,0.02197802197802198,0.040293040293040296,0.03296703296703297,0.23443223443223443,22,161,6,11,9,64,La Lonja,INSTITUTO GABRIELE D'ANNUNZIO,24.48377581120944,21.238938053097343,19.174041297935105,16.814159292035402,9.43952802359882,3.834808259587021,5.014749262536873
359,364,0.08058608058608059,0.5421245421245421,0.04395604395604396,0.047619047619047616,0.018315018315018316,0.2673992673992674,22,148,12,13,5,73,La Lonja,INSTITUTO GABRIELE D'ANNUNZIO,25.438596491228072,20.46783625730994,16.666666666666664,18.128654970760234,9.941520467836256,6.140350877192982,3.2163742690058483
360,365,0.11983471074380166,0.5619834710743802,0.024793388429752067,0.05371900826446281,0.004132231404958678,0.23553719008264462,29,136,6,13,1,57,La Lonja,INSTITUTO GABRIELE D'ANNUNZIO,26.807228915662645,19.87951807228916,16.265060240963855,16.265060240963855,11.74698795180723,5.120481927710842,3.9156626506024104
361,366,0.06557377049180328,0.6557377049180327,0.020491803278688523,0.012295081967213115,0.012295081967213115,0.2336065573770492,16,160,5,3,3,57,La Lonja,INSTITUTO GABRIELE D'ANNUNZIO,27.828746177370032,18.348623853211013,18.96024464831804,14.067278287461775,13.761467889908257,3.9755351681957194,3.058103975535168
362,367,0.04411764705882353,0.6360294117647058,0.01838235294117647,0.04044117647058824,0.01838235294117647,0.2426470588235294,12,173,5,11,5,66,La Lonja,INSTITUTO GABRIELE D'ANNUNZIO,31.044776119402986,16.716417910447767,12.53731343283582,18.2089552238806,9.850746268656716,7.4626865671641776,4.179104477611942
363,368,0.05555555555555555,0.5407407407407407,0.037037037037037035,0.040740740740740744,0.011111111111111112,0.3148148148148148,15,146,10,11,3,85,La Lonja,ESCUELA EP N°31/ES N°31,28.529411764705877,18.529411764705888,21.176470588235293,14.411764705882351,8.823529411764708,4.411764705882354,4.117647058823529
364,369,0.0846774193548387,0.5483870967741935,0.020161290322580645,0.05241935483870968,0.016129032258064516,0.2782258064516129,21,136,5,13,4,69,La Lonja,ESCUELA EP N°31/ES N°31,27.24550898203593,17.964071856287426,20.05988023952096,12.874251497005988,9.281437125748502,7.48502994011976,5.089820359281437
365,370,0.0796812749003984,0.4541832669322709,0.027888446215139442,0.027888446215139442,0.03187250996015936,0.3784860557768924,20,114,7,7,8,95,La Lonja,ESCUELA EP N°31/ES N°31,30.952380952380953,19.642857142857142,19.345238095238095,12.202380952380953,9.226190476190476,5.952380952380952,2.6785714285714284
366,371,0.09848484848484848,0.5189393939393939,0.03787878787878788,0.03409090909090909,0.030303030303030304,0.2803030303030303,26,137,10,9,8,74,La Lonja,ESCUELA EP N°31/ES N°31,27.761194029850746,19.402985074626862,17.313432835820898,16.716417910447767,9.55223880597015,7.164179104477612,2.0895522388059704
367,372,0.09420289855072464,0.5579710144927537,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.2753623188405797,26,154,4,8,8,76,La Lonja,ESCUELA EP N°31/ES N°31,28.70090634441088,19.637462235649547,15.105740181268883,17.82477341389728,9.06344410876133,4.833836858006042,4.833836858006042
368,373,0.06513409961685823,0.6398467432950191,0.022988505747126436,0.01532567049808429,0.04597701149425287,0.210727969348659,17,167,6,4,12,55,La Lonja,ESCUELA EP N°31/ES N°31,22.455089820359284,16.167664670658677,22.15568862275449,17.365269461077844,11.976047904191615,6.2874251497005975,3.5928143712574854
369,374,0.0933852140077821,0.5136186770428015,0.03501945525291829,0.04669260700389105,0.007782101167315175,0.3035019455252918,24,132,9,12,2,78,La Lonja,ESCUELA EP N°31/ES N°31,27.02702702702703,15.015015015015015,21.32132132132132,17.417417417417415,9.60960960960961,6.306306306306306,3.303303303303303
370,375,0.09813084112149532,0.6214953271028038,0.03271028037383177,0.028037383177570093,0.014018691588785047,0.205607476635514,21,133,7,6,3,44,La Lonja,ESCUELA EP N°31/ES N°31,24.832214765100673,22.81879194630873,16.10738255033557,12.416107382550335,11.409395973154364,7.718120805369128,4.697986577181208
371,376,0.08582089552238806,0.3358208955223881,0.06716417910447761,0.033582089552238806,0.022388059701492536,0.4552238805970149,23,90,18,9,6,122,Del Viso,ESCUELA EP N°25,26.764705882352942,23.235294117647058,18.235294117647054,16.176470588235293,8.823529411764708,5.0,1.7647058823529411
372,377,0.1660377358490566,0.3132075471698113,0.06792452830188679,0.018867924528301886,0.022641509433962263,0.41132075471698115,44,83,18,5,6,109,Del Viso,ESCUELA EP N°25,26.176470588235297,23.529411764705877,17.352941176470587,16.76470588235294,8.529411764705884,5.882352941176469,1.7647058823529411
373,378,0.13025210084033614,0.37815126050420167,0.029411764705882353,0.08403361344537816,0.012605042016806723,0.36554621848739494,31,90,7,20,3,87,Del Viso,ESCUELA EP N°25,24.411764705882355,19.11764705882353,22.058823529411764,15.882352941176471,9.705882352941178,4.705882352941177,4.117647058823529
374,379,0.0942622950819672,0.3770491803278688,0.036885245901639344,0.06147540983606557,0.01639344262295082,0.4139344262295082,23,92,9,15,4,101,Del Viso,ESCUELA EP N°25,22.87390029325513,21.994134897360702,20.527859237536656,16.42228739002932,10.557184750733137,5.278592375366569,2.3460410557184748
375,380,0.11020408163265306,0.3510204081632653,0.044897959183673466,0.0326530612244898,0.0163265306122449,0.4448979591836735,27,86,11,8,4,109,Del Viso,ESCUELA EP N°25,25.0,25.0,17.732558139534884,14.825581395348838,11.33720930232558,3.7790697674418596,2.3255813953488373
376,381,0.10150375939849623,0.37593984962406013,0.03383458646616541,0.04887218045112782,0.011278195488721804,0.42857142857142855,27,100,9,13,3,114,Del Viso,ESCUELA EP N°25,21.70087976539589,23.75366568914956,22.287390029325515,17.59530791788857,6.451612903225807,6.158357771260997,2.0527859237536656
377,382,0.14901960784313725,0.403921568627451,0.047058823529411764,0.027450980392156862,0.00784313725490196,0.36470588235294116,38,103,12,7,2,93,Del Viso,ESCUELA EP N°25,26.979472140762464,22.87390029325513,17.888563049853374,15.542521994134898,9.970674486803519,5.865102639296187,0.8797653958944283
378,383,0.11023622047244094,0.4448818897637795,0.01968503937007874,0.04330708661417323,0.011811023622047244,0.3700787401574803,28,113,5,11,3,94,Del Viso,ESCUELA EP N°25,26.923076923076927,23.07692307692308,17.45562130177515,14.201183431952662,10.650887573964498,6.213017751479289,1.4792899408284024
379,384,0.12547528517110265,0.4372623574144487,0.053231939163498096,0.026615969581749048,0.045627376425855515,0.311787072243346,33,115,14,7,12,82,Del Viso,ESCUELA EP N°25,22.485207100591715,20.414201183431953,21.893491124260358,18.343195266272193,8.875739644970414,6.213017751479289,1.7751479289940828
380,385,0.0984251968503937,0.3937007874015748,0.05511811023622047,0.03937007874015748,0.023622047244094488,0.38976377952755903,25,100,14,10,6,99,Del Viso,ESCUELA EP N°25,24.48377581120944,21.238938053097343,17.69911504424779,19.469026548672566,9.734513274336283,5.604719764011799,1.7699115044247788
381,386,0.08582089552238806,0.5074626865671642,0.033582089552238806,0.011194029850746268,0.0037313432835820895,0.3582089552238806,23,136,9,3,1,96,Del Viso,ESCUELA EP N°24,16.216216216216218,17.117117117117118,20.420420420420424,21.02102102102102,13.213213213213212,9.00900900900901,3.003003003003003
382,387,0.09561752988047809,0.3904382470119522,0.0398406374501992,0.043824701195219126,0.00796812749003984,0.42231075697211157,24,98,10,11,2,106,Del Viso,ESCUELA EP N°24,24.778761061946906,21.828908554572273,20.058997050147493,15.33923303834808,11.209439528023598,5.899705014749262,0.8849557522123894
383,388,0.11764705882352941,0.4,0.07058823529411765,0.08627450980392157,0.0,0.3254901960784314,30,102,18,22,0,83,Del Viso,ESCUELA EP N°24,27.492447129909362,17.82477341389728,21.752265861027194,15.709969788519635,8.761329305135952,5.740181268882174,2.7190332326283992
384,389,0.13438735177865613,0.40711462450592883,0.03557312252964427,0.043478260869565216,0.011857707509881422,0.3675889328063241,34,103,9,11,3,93,Del Viso,ESCUELA EP N°24,22.222222222222218,19.51951951951952,24.624624624624623,15.915915915915914,8.408408408408409,4.804804804804805,4.504504504504505
385,390,0.1183206106870229,0.4312977099236641,0.05343511450381679,0.015267175572519083,0.022900763358778626,0.35877862595419846,31,113,14,4,6,94,Del Viso,ESCUELA EP N°24,25.0,18.75,22.02380952380952,13.98809523809524,9.523809523809524,6.845238095238097,3.8690476190476186
386,391,0.12062256809338522,0.377431906614786,0.023346303501945526,0.04669260700389105,0.0,0.43190661478599224,31,97,6,12,0,111,Del Viso,ESCUELA EP N°24,23.823529411764703,22.058823529411764,22.35294117647059,15.0,10.294117647058822,5.5882352941176485,0.8823529411764706
387,392,0.0931174089068826,0.44534412955465585,0.044534412955465584,0.02834008097165992,0.016194331983805668,0.3724696356275304,23,110,11,7,4,92,Del Viso,ESCUELA EP N°24,26.176470588235297,20.0,18.235294117647054,16.176470588235293,11.764705882352938,5.0,2.647058823529412
388,393,0.11406844106463879,0.33840304182509506,0.07604562737642585,0.07604562737642585,0.022813688212927757,0.3726235741444867,30,89,20,20,6,98,Del Viso,ESCUELA EP N°24,28.09667673716012,22.054380664652566,22.658610271903324,13.897280966767372,6.948640483383686,3.625377643504532,2.7190332326283992
389,394,0.10038610038610038,0.4517374517374517,0.05405405405405406,0.05791505791505792,0.019305019305019305,0.3166023166023166,26,117,14,15,5,82,Del Viso,ESCUELA EP N°24,18.100890207715132,26.11275964391692,16.320474777448073,15.133531157270033,11.275964391691394,8.011869436201781,5.044510385756675
390,395,0.10566037735849057,0.37735849056603776,0.04150943396226415,0.03018867924528302,0.011320754716981131,0.4339622641509434,28,100,11,8,3,115,Del Viso,ESCUELA EP N°24,25.0,22.67441860465116,17.732558139534884,13.662790697674415,11.627906976744184,7.558139534883719,1.7441860465116281
391,396,0.08695652173913043,0.4384057971014493,0.05434782608695652,0.028985507246376812,0.010869565217391304,0.3804347826086957,24,121,15,8,3,105,Del Viso,ESCUELA EP N°24,20.535714285714285,23.809523809523807,22.02380952380952,13.392857142857142,13.095238095238097,5.059523809523808,2.083333333333333
392,397,0.06477732793522267,0.5020242914979757,0.05668016194331984,0.016194331983805668,0.008097165991902834,0.3522267206477733,16,124,14,4,2,87,Del Viso,ESCUELA EP N°9/ES N°32,26.56716417910448,20.0,18.2089552238806,17.313432835820898,8.955223880597012,5.970149253731343,2.985074626865672
393,398,0.08461538461538462,0.3346153846153846,0.06538461538461539,0.046153846153846156,0.0038461538461538464,0.4653846153846154,22,87,17,12,1,121,Del Viso,ESCUELA EP N°9/ES N°32,25.748502994011968,26.646706586826355,17.065868263473057,15.568862275449105,8.682634730538922,4.1916167664670665,2.0958083832335332
394,399,0.1111111111111111,0.38095238095238093,0.047619047619047616,0.05952380952380952,0.015873015873015872,0.38492063492063494,28,96,12,15,4,97,Del Viso,ESCUELA EP N°9/ES N°32,23.88059701492537,20.59701492537313,20.0,14.029850746268654,12.53731343283582,5.074626865671642,3.8805970149253732
395,400,0.09259259259259259,0.5222222222222223,0.040740740740740744,0.04814814814814815,0.014814814814814815,0.2814814814814815,25,141,11,13,4,76,Del Viso,ESCUELA EP N°9/ES N°32,19.047619047619047,27.97619047619048,18.452380952380953,13.690476190476193,10.714285714285714,5.952380952380952,4.166666666666666
396,401,0.0898876404494382,0.449438202247191,0.06367041198501873,0.0299625468164794,0.011235955056179775,0.35580524344569286,24,120,17,8,3,95,Del Viso,ESCUELA EP N°9/ES N°32,26.176470588235297,20.88235294117647,20.88235294117647,16.176470588235293,8.529411764705884,4.411764705882354,2.9411764705882346
397,402,0.12301587301587301,0.4444444444444444,0.06349206349206349,0.06349206349206349,0.011904761904761904,0.29365079365079366,31,112,16,16,3,74,Del Viso,ESCUELA EP N°9/ES N°32,18.584070796460182,20.35398230088496,19.76401179941003,18.584070796460182,12.09439528023599,7.079646017699115,3.5398230088495577
398,403,0.11610486891385768,0.36329588014981273,0.033707865168539325,0.052434456928838954,0.0299625468164794,0.4044943820224719,31,97,9,14,8,108,Del Viso,ESCUELA EP N°9/ES N°32,29.65116279069768,18.313953488372096,18.313953488372096,17.151162790697676,8.13953488372093,6.104651162790698,2.3255813953488373
399,404,0.13688212927756654,0.4790874524714829,0.07984790874524715,0.026615969581749048,0.015209125475285171,0.2623574144486692,36,126,21,7,4,69,Del Viso,ESCUELA EP N°9/ES N°32,20.420420420420424,24.324324324324326,20.720720720720717,13.213213213213212,12.012012012012011,6.306306306306306,3.003003003003003
400,405,0.12962962962962962,0.44814814814814813,0.04814814814814815,0.037037037037037035,0.02962962962962963,0.3074074074074074,35,121,13,10,8,83,Del Viso,ESCUELA EP N°9/ES N°32,20.238095238095237,19.642857142857142,19.047619047619047,17.559523809523807,13.98809523809524,6.547619047619048,2.976190476190476
